Entry	Mass	Gene Names (ordered locus)
P40218	25915	YMR147W
P40323	18046	YPL073C
P40449	27112	YIL161W
P40523	70733	YIL055C
P40543	21791	YIL024C
P43599	41031	YFR018C
P43622	20459	YFR054C
P47078	12658	YJL009W
P47086	30473	YJR011C
P47126	12597	YJR079W
P50089	89241	YGR237C
P53066	20074	YGL242C
P53110	41635	YGL159W
P53133	30755	YGL117W
P53275	35685	YGR127W
P53307	13267	YGR219W
P53719	23077	YNR014W
P53758	9740	YNR077C
P53876	12470	YNL184C
P53906	11887	YNL146W
P53907	84202	YNL144C
P53910	21678	YNL140C
P53980	49913	YNL011C
P54007	41127	YLR460C
P9WEN8	5872	YHR052C-B
P9WEN9	5872	YHR054C-B
Q02209	41300	YKR011C
Q02749	33098	YPL068C
Q02831	27469	YPL077C
Q02872	19819	YPL108W
Q03208	40060	YML119W
Q03231	17602	YMR181C
Q03629	22461	YML079W
Q03703	38023	YML037C
Q03722	76138	YML020W
Q03759	12339	YML108W
Q03823	95097	YMR160W
Q04608	37604	YDR124W
Q04814	15635	YMR252C
Q04978	23943	YML053C
Q06150	66344	YLR267W
Q06821	50835	YPR084W
Q07074	8384	YHR007C-A
Q07738	13494	YDL241W
Q08187	22429	YOL029C
Q08504	12335	YOR105W
Q08909	34064	YOR385W
Q08984	59389	YPL272C
Q12082	13563	YDL157C
Q12110	49493	YLR049C
Q12257	19058	YDL177C
Q12274	19401	YOR097C
Q12496	118392	YOL098C
Q2V2P1	7078	YLR146W-A
Q3E735	9779	YOR034C-A
Q3E736	9036	YOR192C-C
Q3E739	7680	YIR021W-A
Q3E751	10112	YPL119C-A
Q3E758	5096	YHL048C-A
Q3E762	7615	YBR230W-A
Q3E766	7309	YMR175W-A
Q3E767	5315	YNL067W-B
Q3E778	3925	YBR196C-B
Q3E781	4086	YBR221W-A
Q3E782	5152	YMR247W-A
Q3E791	11308	YAL063C-A
Q3E795	11050	YLR361C-A
Q3E7A6	4411	YML007C-A
Q3E7Y7	6124	YOR293C-A
Q3E7Y8	5203	YOL155W-A
Q3E7Y9	7032	YOL097W-A
Q3E7Z0	7208	YNL277W-A
Q3E7Z1	7681	YNL146C-A
Q3E7Z2	9933	YNL042W-B
Q3E7Z3	5218	YIR018C-A
Q3E7Z4	6308	YIL046W-A
Q3E7Z5	7729	YIL002W-A
Q3E7Z6	3200	YHL015W-A
Q3E7Z7	4843	YDR003W-A
Q3E7Z8	10612	YCR024C-B
Q3E832	6133	YOR072W-B
Q45U48	8362	YGR035W-A
Q6B0Y7	14033	YMR075C-A
Q8J0M4	15588	YCL012C
Q8TGK4	8407	YBR298C-A
Q99296	82799	YLR149C
Q99395	23260	YPL229W
